Date,Account,Category,Subcategory,Note,NRS,Income/Expense,Note,Amount,Currency,Account
1/14/2022 16:56,CUB - online payment,Other,,Gundan + prasanna,340,Income,,340,NRS,340
1/14/2022 16:55,CUB - online payment,Other,,Dinesh and maddy + 100 cash,240,Income,,240,NRS,240
1/14/2022 16:54,CUB - online payment,Other,,From gowdham,340,Income,,340,NRS,340
1/14/2022 16:54,CUB - online payment,Food,,Lunch pongal,1530,Expense,,1530,NRS,1530
1/13/2022 20:46,CUB - online payment,Food,,Dinner,66,Expense,,66,NRS,66
1/13/2022 19:10,CUB - online payment,Other,,From dad,1000,Income,,1000,NRS,1000
1/13/2022 17:47,CUB - online payment,Transportation,,Rapido to pg,43,Expense,,43,NRS,43
1/12/2022 22:44,CUB - online payment,Other,,Recharge by gowdham,479,Expense,,479,NRS,479
1/12/2022 13:25,CUB - online payment,Food,,Pizza,301.75,Expense,,301.75,NRS,301.75
1/12/2022 13:25,CUB - online payment,Other,,From kumara,200,Income,,200,NRS,200
1/11/2022 14:07,CUB - online payment,Food,,Lunch with not preethi,135.5,Expense,,135.5,NRS,135.5
1/10/2022 14:04,CUB - online payment,Food,,Friday snacks with preethi gang,106,Expense,,106,NRS,106
1/8/2022 13:46,CUB - online payment,Other,,From gowdham,260,Income,,260,NRS,260
1/8/2022 13:45,CUB - online payment,Food,,Lunch with gowdham,535.3,Expense,,535.3,NRS,535.3
1/8/2022 13:38,CUB - online payment,Household,,Rent,4580,Expense,,4580,NRS,4580
1/7/2022 13:51,CUB - online payment,Food,,Coffee + biscuit,15,Expense,,15,NRS,15
1/6/2022 21:30,CUB - online payment,Other,,From barath and shakur,440,Income,,440,NRS,440
1/6/2022 20:58,CUB - online payment,Food,,Ketch up,20,Expense,,20,NRS,20
1/6/2022 20:13,CUB - online payment,Food,,Dinner with roommate,877.81,Expense,,877.81,NRS,877.81
1/6/2022 14:22,CUB - online payment,Food,,Bingo,10,Expense,,10,NRS,10
1/6/2022 11:48,CUB - online payment,Transportation,,Rapido to pg,42,Expense,,42,NRS,42
1/5/2022 20:23,CUB - online payment,Food,,McDonald's with company,211,Expense,,211,NRS,211
1/5/2022 14:46,CUB - online payment,Other,,Lended money returned to vishnu,40,Expense,,40,NRS,40
1/5/2022 14:42,CUB - online payment,Other,,Lended money returned to kumara,30,Expense,,30,NRS,30
1/5/2022 14:42,CUB - online payment,Food,,Jan 2nd with shakur and barath,354,Expense,,354,NRS,354
1/5/2022 14:39,CUB - online payment,Other,,To gobi 1st 1/4th,500,Expense,,500,NRS,500
1/5/2022 14:37,CUB - online payment,Other,,To abijith and to vicky lend money returned,500,Expense,,500,NRS,500
1/5/2022 14:35,CUB - online payment,Transportation,,Refund for bus ticket,60,Expense,,60,NRS,60
1/5/2022 14:30,CUB - online payment,Food,,Lunch with company,388,Expense,,388,NRS,388
1/4/2022 22:11,CUB - online payment,Education,,Arrear and reval fee,1400,Expense,,1400,NRS,1400
1/4/2022 22:10,CUB - online payment,Salary,,Salary,8000,Income,,8000,NRS,8000
1/4/2022 13:53,CUB - online payment,Food,,Lunch with company,106,Expense,,106,NRS,106
1/4/2022 8:01,CUB - online payment,Other,,To vicky,80,Expense,,80,NRS,80
1/4/2022 7:58,CUB - online payment,Food,,Sent to preethi,107,Expense,,107,NRS,107
1/3/2022 22:15,CUB - online payment,Food,,Dairy milk,10,Expense,,10,NRS,10
1/3/2022 21:54,CUB - online payment,Other,,From barath,201,Income,,201,NRS,201
1/3/2022 21:12,CUB - online payment,Other,,From gpay,5,Income,,5,NRS,5
1/3/2022 21:11,CUB - online payment,Other,,From shakur,140,Income,,140,NRS,140
1/3/2022 14:31,CUB - online payment,Food,,Lunch unlimited nv,300,Expense,,300,NRS,300
1/3/2022 14:30,CUB - online payment,Other,,From abi,300,Income,,300,NRS,300
1/2/2022 20:33,CUB - online payment,Other,,Tablet to gowdham,8,Expense,,8,NRS,8
1/2/2022 20:32,CUB - online payment,Food,,Dinner with barath,200,Expense,,200,NRS,200
1/2/2022 14:16,CUB - online payment,Transportation,,Train to vnr,725,Expense,,725,NRS,725
1/1/2022 21:46,CUB - online payment,Food,,Snacks,85,Expense,,85,NRS,85
1/1/2022 21:45,CUB - online payment,Allowance,,From dad,1000,Income,,1000,NRS,1000
12/30/2021 14:10,CUB - online payment,Food,,To barath,20,Expense,,20,NRS,20
12/30/2021 13:56,CUB - online payment,Transportation,,Pg to office,43,Expense,,43,NRS,43
12/30/2021 13:36,CUB - online payment,Other,,From kumara,30,Income,,30,NRS,30
12/30/2021 12:43,CUB - online payment,Food,,Horlicks + kolakattai,25,Expense,,25,NRS,25
12/30/2021 12:38,CUB - online payment,Transportation,,Bommasandra to pg,199,Expense,,199,NRS,199
12/30/2021 12:37,CUB - online payment,Other,,From Deepak,250,Income,,250,NRS,250
12/30/2021 11:45,CUB - online payment,Food,,Water,20,Expense,,20,NRS,20
12/30/2021 11:45,CUB - online payment,Other,,From abi,20,Income,,20,NRS,20
12/30/2021 11:45,CUB - online payment,Transportation,,Rapido + toll,286,Expense,,286,NRS,286
12/30/2021 11:44,CUB - online payment,Other,,From Deepak,250,Income,,250,NRS,250
12/28/2021 13:42,CUB - online payment,Food,,Coffee and thattai,14,Expense,,14,NRS,14
12/27/2021 13:45,CUB - online payment,Food,,Lunch with barath,115,Expense,,115,NRS,115
12/27/2021 13:44,CUB - online payment,Other,,From vicky,80,Income,,80,NRS,80
12/27/2021 12:33,CUB - online payment,Other,,From ganesan,40,Income,,40,NRS,40
12/27/2021 12:33,CUB - online payment,Food,,Coconut water with stu,50,Expense,,50,NRS,50
12/25/2021 22:53,CUB - online payment,Food,,Dinner with barath,504,Expense,,504,NRS,504
12/25/2021 20:46,CUB - online payment,Transportation,,Cab,306,Expense,,306,NRS,306
12/25/2021 19:50,CUB - online payment,Self-development,,Books,400,Expense,,400,NRS,400
12/25/2021 17:01,CUB - online payment,Food,,Corn,30,Expense,,30,NRS,30
12/25/2021 15:35,CUB - online payment,Food,,Water,30,Expense,,30,NRS,30
12/25/2021 13:32,CUB - online payment,Food,,Milk with bharath,40,Expense,,40,NRS,40
12/24/2021 21:49,CUB - online payment,Social Life,,Beer,150,Expense,,150,NRS,150
12/24/2021 14:35,CUB - online payment,Food,,Lunch with company,262,Expense,,262,NRS,262
12/23/2021 16:31,CUB - online payment,Food,,Lemon tea with company,15,Expense,,15,NRS,15
12/23/2021 13:51,CUB - online payment,Food,,Puffs and coffee,32,Expense,,32,NRS,32
12/21/2021 20:53,CUB - online payment,Food,,Dinner with barath,239,Expense,,239,NRS,239
12/21/2021 14:02,CUB - online payment,Food,,Puffs,25,Expense,,25,NRS,25
12/21/2021 11:43,CUB - online payment,Food,,Bun,18,Expense,,18,NRS,18
12/20/2021 19:23,CUB - online payment,Food,,Milk with bharath,80,Expense,,80,NRS,80
12/20/2021 19:22,CUB - online payment,Transportation,,Taxi,80,Expense,,80,NRS,80
12/20/2021 16:55,CUB - online payment,Food,,Snacks,20,Expense,,20,NRS,20
12/20/2021 15:29,CUB - online payment,Food,,Water,20,Expense,,20,NRS,20
12/20/2021 13:35,CUB - online payment,Food,,Lunch with barath,85,Expense,,85,NRS,85
12/20/2021 9:46,CUB - online payment,Food,,Milk with bharath,40,Expense,,40,NRS,40
12/19/2021 15:51,CUB - online payment,Other,,To siva,100,Expense,,100,NRS,100
12/18/2021 21:01,CUB - online payment,Other,,To kumara,100,Expense,,100,NRS,100
12/18/2021 21:01,CUB - online payment,Other,,To abijith,200,Expense,,200,NRS,200
12/18/2021 21:00,CUB - online payment,Food,,To rahul,113,Expense,,113,NRS,113
12/18/2021 21:00,CUB - online payment,Allowance,,From dad,1000,Income,,1000,NRS,1000
12/18/2021 19:52,CUB - online payment,Other,,Lended money,400,Income,,400,NRS,400
12/18/2021 19:51,CUB - online payment,Social Life,,Spiderman ,363.72,Expense,,363.72,NRS,363.72
12/18/2021 14:19,CUB - online payment,Food,,Lunch,160,Expense,,160,NRS,160
12/17/2021 18:54,CUB - online payment,Food,,Milk with bharath,70,Expense,,70,NRS,70
12/17/2021 14:45,CUB - online payment,Food,,Lunch with company,110,Expense,,110,NRS,110
12/17/2021 8:35,CUB - online payment,Other,,Gave to gowdham,50,Expense,,50,NRS,50
12/16/2021 18:44,CUB - online payment,Food,,Egg,30,Expense,,30,NRS,30
12/16/2021 18:35,CUB - online payment,Food,,Panipoori,20,Expense,,20,NRS,20
12/16/2021 13:38,CUB - online payment,Food,,Lunch,30,Expense,,30,NRS,30
12/16/2021 10:42,CUB - online payment,Food,,Milk with bharath,110,Expense,,110,NRS,110
12/14/2021 23:54,CUB - online payment,Food,,Lunch,40,Expense,,40,NRS,40
12/14/2021 21:21,CUB - online payment,Food,,Snacks,75,Expense,,75,NRS,75
12/14/2021 21:03,CUB - online payment,Food,,Panipoori,80,Expense,,80,NRS,80
12/14/2021 15:18,CUB - online payment,Food,,Snacks,74,Expense,,74,NRS,74
12/14/2021 10:33,CUB - online payment,Food,,Milk with bharath,65,Expense,,65,NRS,65
12/12/2021 21:47,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,NRS,25
12/11/2021 9:22,CUB - online payment,Allowance,,From dad,1000,Income,,1000,NRS,1000
12/11/2021 8:20,CUB - online payment,Other,,From stu,240,Income,,240,NRS,240
12/10/2021 21:38,CUB - online payment,Food,,Shopping,241,Expense,,241,NRS,241
12/10/2021 20:55,CUB - online payment,Food,,Momos,195,Expense,,195,NRS,195
12/9/2021 20:03,CUB - online payment,Food,,Snack with bharath,40,Expense,,40,NRS,40
12/9/2021 14:01,CUB - online payment,Food,,Lunch with company,280,Expense,,280,NRS,280
12/9/2021 9:56,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,NRS,25
12/9/2021 8:47,CUB - online payment,Food,,Breakfast with stu,110,Expense,,110,NRS,110
12/8/2021 14:15,CUB - online payment,Food,,Lunch with stu,100,Expense,,100,NRS,100
12/8/2021 14:15,Cash,Food,,5 star,1120.72,Expense,,15,USD,15
12/8/2021 7:17,CUB - online payment,Food,,Milk,10,Expense,,10,NRS,10
12/7/2021 9:54,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,NRS,25
12/7/2021 7:59,CUB - online payment,Food,,Horlicks,15,Expense,,15,NRS,15
12/6/2021 21:59,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,NRS,25
12/6/2021 20:07,CUB - online payment,Apparel,,Shoe,500,Expense,,500,NRS,500
12/6/2021 19:57,CUB - online payment,Apparel,,Cap,140,Expense,,140,NRS,140
12/6/2021 14:08,CUB - online payment,Food,,Lunch with stu,150,Expense,,150,NRS,150
12/5/2021 19:45,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,NRS,25
12/5/2021 18:41,CUB - online payment,Apparel,,Full hand and a hoodie,1800,Expense,,1800,NRS,1800
12/5/2021 12:23,CUB - online payment,Household,,Rent,4800,Expense,,4800,NRS,4800
12/5/2021 12:23,CUB - online payment,Allowance,,From dad,8000,Income,,8000,NRS,8000
12/4/2021 21:05,CUB - online payment,Food,,Dinner,324,Expense,,324,NRS,324
12/4/2021 20:20,CUB - online payment,Food,,Snack,65,Expense,,65,NRS,65
12/4/2021 13:54,CUB - online payment,Other,,For company,30,Expense,,30,NRS,30
12/4/2021 10:13,CUB - online payment,Food,,Breakfast,200,Expense,,200,NRS,200
12/3/2021 21:59,CUB - online payment,Food,,Milk with bharath,25,Expense,,25,NRS,25
12/3/2021 21:59,CUB - online payment,Apparel,,Belt,130,Expense,,130,NRS,130
12/3/2021 21:28,CUB - online payment,Apparel,,Mask,20,Expense,,20,NRS,20
12/3/2021 21:28,CUB - online payment,Food,,Snack,40,Expense,,40,NRS,40
12/3/2021 21:28,CUB - online payment,Allowance,,From dad,1000,Income,,1000,NRS,1000
12/2/2021 20:07,CUB - online payment,Food,,Ice cream,504,Expense,,504,NRS,504
12/2/2021 19:48,CUB - online payment,Food,,Vadapaav,75,Expense,,75,NRS,75
12/1/2021 19:57,CUB - online payment,Beauty,,Showergel,196,Expense,,196,NRS,196
12/1/2021 14:00,CUB - online payment,Food,,Lunch with company,160,Expense,,160,NRS,160
11/30/2021 14:24,CUB - online payment,Gift,,Bharath birthday,115,Expense,,115,NRS,115
